"category","meta_cat","group_num","year","gross_inv","gross_inv_chain","gross_inv_ipd","high_cat"
"S&L","Water supply",5,1953,371.875,4040.79,9.20302713083333,"Total basic infrastructure"
"S&L","Water supply",5,1954,423.889,4513.771,9.39101695677517,"Total basic infrastructure"
"S&L","Water supply",5,1955,486.633,5003.937,9.72500253300551,"Total basic infrastructure"
"S&L","Water supply",5,1956,592.407,5682.127,10.4257965371066,"Total basic infrastructure"
"S&L","Water supply",5,1957,582.016,5256.127,11.0730962170435,"Total basic infrastructure"
"S&L","Water supply",5,1958,571.943,5027.298,11.3767475092982,"Total basic infrastructure"
"S&L","Water supply",5,1959,586,5254.037,11.1533283834887,"Total basic infrastructure"
"S&L","Water supply",5,1960,624,5545.006,11.2533692479323,"Total basic infrastructure"
"S&L","Water supply",5,1961,684,6047.395,11.3106552490783,"Total basic infrastructure"
"S&L","Water supply",5,1962,696,6191.103,11.241938633552,"Total basic infrastructure"
"S&L","Water supply",5,1963,895,7982.378,11.2121976684141,"Total basic infrastructure"
"S&L","Water supply",5,1964,972,8752.166,11.1058222615979,"Total basic infrastructure"
"S&L","Water supply",5,1965,1285,11248.039,11.4242135895866,"Total basic infrastructure"
"S&L","Water supply",5,1966,1085,9264.273,11.7116583244039,"Total basic infrastructure"
"S&L","Water supply",5,1967,1296,10891.706,11.8989623847724,"Total basic infrastructure"
"S&L","Water supply",5,1968,1544,12446.391,12.4052024398077,"Total basic infrastructure"
"S&L","Water supply",5,1969,1360,10532.976,12.9118304266524,"Total basic infrastructure"
"S&L","Water supply",5,1970,1115,8152.656,13.676524558377,"Total basic infrastructure"
"S&L","Water supply",5,1971,1016.001,6850.695,14.8306266736441,"Total basic infrastructure"
"S&L","Water supply",5,1972,1103,6899.594,15.9864478982387,"Total basic infrastructure"
"S&L","Water supply",5,1973,1099.001,6405.907,17.1560561213268,"Total basic infrastructure"
"S&L","Water supply",5,1974,1415,7113.801,19.8909134511916,"Total basic infrastructure"
"S&L","Water supply",5,1975,1992,8407.378,23.6934749454586,"Total basic infrastructure"
"S&L","Water supply",5,1976,1931,7738.887,24.951908459188,"Total basic infrastructure"
"S&L","Water supply",5,1977,1710,6600.457,25.9072970250393,"Total basic infrastructure"
"S&L","Water supply",5,1978,2256,7920.651,28.4825073090583,"Total basic infrastructure"
"S&L","Water supply",5,1979,2572.999,8191.314,31.4113095896458,"Total basic infrastructure"
"S&L","Water supply",5,1980,3267.999,9392.735,34.7928372300507,"Total basic infrastructure"
"S&L","Water supply",5,1981,3126.001,8409.962,37.1702155134589,"Total basic infrastructure"
"S&L","Water supply",5,1982,3266,8560.41,38.1523782155294,"Total basic infrastructure"
"S&L","Water supply",5,1983,2860,7252.827,39.4328997506765,"Total basic infrastructure"
"S&L","Water supply",5,1984,3481,8529.104,40.8131967906594,"Total basic infrastructure"
"S&L","Water supply",5,1985,4028,9655.924,41.7153241885499,"Total basic infrastructure"
"S&L","Water supply",5,1986,4766.001,11200.219,42.5527482989395,"Total basic infrastructure"
"S&L","Water supply",5,1987,5420,12536.483,43.2338160551089,"Total basic infrastructure"
"S&L","Water supply",5,1988,5436,12191.536,44.5883111037034,"Total basic infrastructure"
"S&L","Water supply",5,1989,5628,12255.745,45.9213209804871,"Total basic infrastructure"
"S&L","Water supply",5,1990,6289.999,13432.616,46.8263143977316,"Total basic infrastructure"
"S&L","Water supply",5,1991,6516,13966.834,46.6533789977027,"Total basic infrastructure"
"S&L","Water supply",5,1992,5814,12257.693,47.4314375470164,"Total basic infrastructure"
"S&L","Water supply",5,1993,5234,10530.472,49.7033751193679,"Total basic infrastructure"
"S&L","Water supply",5,1994,5483,10597.503,51.738602952035,"Total basic infrastructure"
"S&L","Water supply",5,1995,5330,10024.155,53.171564086948,"Total basic infrastructure"
"S&L","Water supply",5,1996,6526.001,11996.58,54.3988453375879,"Total basic infrastructure"
"S&L","Water supply",5,1997,7563,13553.608,55.8006399476804,"Total basic infrastructure"
"S&L","Water supply",5,1998,8208,14511.344,56.5626450589277,"Total basic infrastructure"
"S&L","Water supply",5,1999,8832,15091.278,58.5238705429719,"Total basic infrastructure"
"S&L","Water supply",5,2000,8924.001,14633.966,60.9814249944273,"Total basic infrastructure"
"S&L","Water supply",5,2001,9623,15193.213,63.3374915496808,"Total basic infrastructure"
"S&L","Water supply",5,2002,10763,16664.153,64.5877411231162,"Total basic infrastructure"
"S&L","Water supply",5,2003,11422.001,17374.521,65.7399475933754,"Total basic infrastructure"
"S&L","Water supply",5,2004,11982,17182.551,69.7335337459496,"Total basic infrastructure"
"S&L","Water supply",5,2005,12354,16264.377,75.9574129399485,"Total basic infrastructure"
"S&L","Water supply",5,2006,13421,16426.402,81.7038326469789,"Total basic infrastructure"
"S&L","Water supply",5,2007,14283.999,16436.052,86.9065089353575,"Total basic infrastructure"
"S&L","Water supply",5,2008,14703.2,16297.461,90.2177339157308,"Total basic infrastructure"
"S&L","Water supply",5,2009,15197.4,16848.677,90.199366988874,"Total basic infrastructure"
"S&L","Water supply",5,2010,14721.601,15840.227,92.938068374904,"Total basic infrastructure"
"S&L","Water supply",5,2011,14270.8,14759.967,96.6858530239261,"Total basic infrastructure"
"S&L","Water supply",5,2012,14254,14254,100,"Total basic infrastructure"
"S&L","Water supply",5,2013,14732,14489.276,101.675197573709,"Total basic infrastructure"
"S&L","Water supply",5,2014,14817,14182.423,104.474390588971,"Total basic infrastructure"
"S&L","Water supply",5,2015,15086,14102.869,106.971141829368,"Total basic infrastructure"
"S&L","Water supply",5,2016,14972,13761.904,108.793085607922,"Total basic infrastructure"
"S&L","Water supply",5,2017,15485,13856.385,111.753534561864,"Total basic infrastructure"
"Private","Sewer and waste",6,1947,15,202,7.42574257425743,"Total basic infrastructure"
"Private","Sewer and waste",6,1948,14,170,8.23529411764706,"Total basic infrastructure"
"Private","Sewer and waste",6,1949,17,206,8.25242718446602,"Total basic infrastructure"
"Private","Sewer and waste",6,1950,25,319,7.83699059561129,"Total basic infrastructure"
"Private","Sewer and waste",6,1951,14,160,8.75,"Total basic infrastructure"
"Private","Sewer and waste",6,1952,19,203,9.35960591133005,"Total basic infrastructure"
"Private","Sewer and waste",6,1953,26,287,9.05923344947735,"Total basic infrastructure"
"Private","Sewer and waste",6,1954,27,300,9,"Total basic infrastructure"
"Private","Sewer and waste",6,1955,34,391,8.69565217391304,"Total basic infrastructure"
"Private","Sewer and waste",6,1956,28,292,9.58904109589041,"Total basic infrastructure"
"Private","Sewer and waste",6,1957,44,432,10.1851851851852,"Total basic infrastructure"
"Private","Sewer and waste",6,1958,43,417,10.3117505995204,"Total basic infrastructure"
"Private","Sewer and waste",6,1959,45,457,9.84682713347921,"Total basic infrastructure"
"Private","Sewer and waste",6,1960,62,628,9.87261146496815,"Total basic infrastructure"
"Private","Sewer and waste",6,1961,55,558,9.85663082437276,"Total basic infrastructure"
"Private","Sewer and waste",6,1962,61,604,10.0993377483444,"Total basic infrastructure"
"Private","Sewer and waste",6,1963,68,662,10.2719033232628,"Total basic infrastructure"
"Private","Sewer and waste",6,1964,74,709,10.4372355430183,"Total basic infrastructure"
"Private","Sewer and waste",6,1965,91,852,10.6807511737089,"Total basic infrastructure"
"Private","Sewer and waste",6,1966,106,954,11.1111111111111,"Total basic infrastructure"
"Private","Sewer and waste",6,1967,100,863,11.5874855156431,"Total basic infrastructure"
"Private","Sewer and waste",6,1968,126,1016,12.4015748031496,"Total basic infrastructure"
"Private","Sewer and waste",6,1969,163,1229,13.2628152969894,"Total basic infrastructure"
"Private","Sewer and waste",6,1970,208,1440,14.4444444444444,"Total basic infrastructure"
"Private","Sewer and waste",6,1971,218,1410,15.4609929078014,"Total basic infrastructure"
"Private","Sewer and waste",6,1972,207,1261,16.4155432196669,"Total basic infrastructure"
"Private","Sewer and waste",6,1973,211,1203,17.5394846217789,"Total basic infrastructure"
"Private","Sewer and waste",6,1974,241,1146,21.0296684118674,"Total basic infrastructure"
"Private","Sewer and waste",6,1975,267,1117,23.9033124440465,"Total basic infrastructure"
"Private","Sewer and waste",6,1976,280,1141,24.5398773006135,"Total basic infrastructure"
"Private","Sewer and waste",6,1977,340,1301,26.1337432744043,"Total basic infrastructure"
"Private","Sewer and waste",6,1978,402,1490,26.9798657718121,"Total basic infrastructure"
"Private","Sewer and waste",6,1979,512,1752,29.2237442922374,"Total basic infrastructure"
"Private","Sewer and waste",6,1980,526,1586,33.1651954602774,"Total basic infrastructure"
"Private","Sewer and waste",6,1981,597,1590,37.5471698113208,"Total basic infrastructure"
"Private","Sewer and waste",6,1982,663,1640,40.4268292682927,"Total basic infrastructure"
"Private","Sewer and waste",6,1983,765,1886,40.5620360551432,"Total basic infrastructure"
"Private","Sewer and waste",6,1984,996,2475,40.2424242424242,"Total basic infrastructure"
"Private","Sewer and waste",6,1985,1425,3483,40.9130060292851,"Total basic infrastructure"
"Private","Sewer and waste",6,1986,1189,2826,42.0736022646851,"Total basic infrastructure"
"Private","Sewer and waste",6,1987,1374,3146,43.674507310871,"Total basic infrastructure"
"Private","Sewer and waste",6,1988,1109,2495,44.4488977955912,"Total basic infrastructure"
"Private","Sewer and waste",6,1989,1286,2820,45.6028368794326,"Total basic infrastructure"
"Private","Sewer and waste",6,1990,1546,3264,47.3651960784314,"Total basic infrastructure"
"Private","Sewer and waste",6,1991,1539,3168,48.5795454545455,"Total basic infrastructure"
"Private","Sewer and waste",6,1992,1867,3796,49.1833508956797,"Total basic infrastructure"
"Private","Sewer and waste",6,1993,1715,3454,49.6525767226404,"Total basic infrastructure"
"Private","Sewer and waste",6,1994,1511,2960,51.0472972972973,"Total basic infrastructure"
"Private","Sewer and waste",6,1995,1788,3353,53.3253802564867,"Total basic infrastructure"
"Private","Sewer and waste",6,1996,1467,2665,55.046904315197,"Total basic infrastructure"
"Private","Sewer and waste",6,1997,1251,2207,56.6832804712279,"Total basic infrastructure"
"Private","Sewer and waste",6,1998,730,1272,57.3899371069182,"Total basic infrastructure"
"Private","Sewer and waste",6,1999,1112,1868,59.5289079229122,"Total basic infrastructure"
"Private","Sewer and waste",6,2000,1094,1769,61.8428490672696,"Total basic infrastructure"
"Private","Sewer and waste",6,2001,866,1348,64.2433234421365,"Total basic infrastructure"
"Private","Sewer and waste",6,2002,530,809,65.512978986403,"Total basic infrastructure"
"Private","Sewer and waste",6,2003,599,897,66.778149386845,"Total basic infrastructure"
"Private","Sewer and waste",6,2004,713,1009,70.6640237859267,"Total basic infrastructure"
"Private","Sewer and waste",6,2005,517,672,76.9345238095238,"Total basic infrastructure"
"Private","Sewer and waste",6,2006,657,792,82.9545454545455,"Total basic infrastructure"
"Private","Sewer and waste",6,2007,879,993,88.5196374622357,"Total basic infrastructure"
"Private","Sewer and waste",6,2008,1305,1425,91.5789473684211,"Total basic infrastructure"
"Private","Sewer and waste",6,2009,829,913,90.7995618838992,"Total basic infrastructure"
"Private","Sewer and waste",6,2010,694,754,92.0424403183024,"Total basic infrastructure"
"Private","Sewer and waste",6,2011,723,752,96.1436170212766,"Total basic infrastructure"
"Private","Sewer and waste",6,2012,715,715,100,"Total basic infrastructure"
"Private","Sewer and waste",6,2013,427,420,101.666666666667,"Total basic infrastructure"
"Private","Sewer and waste",6,2014,289,276,104.710144927536,"Total basic infrastructure"
"Private","Sewer and waste",6,2015,442,414,106.763285024155,"Total basic infrastructure"
"Private","Sewer and waste",6,2016,446,410,108.780487804878,"Total basic infrastructure"
"Private","Sewer and waste",6,2017,271,243,111.522633744856,"Total basic infrastructure"
"S&L","Sewer and waste",6,1947,190.922,3087.707,6.18329394596055,"Total basic infrastructure"
"S&L","Sewer and waste",6,1948,309.603,4369.48,7.08557997748016,"Total basic infrastructure"
"S&L","Sewer and waste",6,1949,364.299,5000.547,7.28518300097969,"Total basic infrastructure"
"S&L","Sewer and waste",6,1950,395.259,5150.806,7.67373106267252,"Total basic infrastructure"
"S&L","Sewer and waste",6,1951,438.604,5363.876,8.17699738025264,"Total basic infrastructure"
"S&L","Sewer and waste",6,1952,445.828,5298.631,8.41402241446894,"Total basic infrastructure"
"S&L","Sewer and waste",6,1953,536.645,6042.861,8.88064444970685,"Total basic infrastructure"
"S&L","Sewer and waste",6,1954,586.181,6465.025,9.06695643094961,"Total basic infrastructure"
"S&L","Sewer and waste",6,1955,634.685,6757.843,9.39182813214216,"Total basic infrastructure"
"S&L","Sewer and waste",6,1956,723.438,7178.293,10.0781341747962,"Total basic infrastructure"
"S&L","Sewer and waste",6,1957,805.999,7521.402,10.7160739447247,"Total basic infrastructure"
"S&L","Sewer and waste",6,1958,862.759,7825.516,11.0249471089191,"Total basic infrastructure"
"S&L","Sewer and waste",6,1959,935,9965.007,9.38283334873724,"Total basic infrastructure"
"S&L","Sewer and waste",6,1960,903,9612.128,9.39438176437101,"Total basic infrastructure"
"S&L","Sewer and waste",6,1961,940,9905.635,9.48954812084233,"Total basic infrastructure"
"S&L","Sewer and waste",6,1962,1099,11253.571,9.76578901043944,"Total basic infrastructure"
"S&L","Sewer and waste",6,1963,967,9701.074,9.96796849503467,"Total basic infrastructure"
"S&L","Sewer and waste",6,1964,1354,13346.51,10.144974229218,"Total basic infrastructure"
"S&L","Sewer and waste",6,1965,1223,11893.278,10.283119590747,"Total basic infrastructure"
"S&L","Sewer and waste",6,1966,1330,12511.047,10.63060509644,"Total basic infrastructure"
"S&L","Sewer and waste",6,1967,1094,9974.516,10.9679507256292,"Total basic infrastructure"
"S&L","Sewer and waste",6,1968,1590,13900.941,11.4380745879002,"Total basic infrastructure"
"S&L","Sewer and waste",6,1969,1398,11448.41,12.2113027049171,"Total basic infrastructure"
"S&L","Sewer and waste",6,1970,1618,12248.797,13.2094604882422,"Total basic infrastructure"
"S&L","Sewer and waste",6,1971,1914,13024.827,14.6950128397099,"Total basic infrastructure"
"S&L","Sewer and waste",6,1972,2084,12754.132,16.3398026616002,"Total basic infrastructure"
"S&L","Sewer and waste",6,1973,2529,14381.411,17.5852007845405,"Total basic infrastructure"
"S&L","Sewer and waste",6,1974,3495,17411.071,20.0734348851946,"Total basic infrastructure"
"S&L","Sewer and waste",6,1975,3748,16530.207,22.6736422598943,"Total basic infrastructure"
"S&L","Sewer and waste",6,1976,4243,17548.543,24.1786454864088,"Total basic infrastructure"
"S&L","Sewer and waste",6,1977,4033,15518.782,25.9878642537797,"Total basic infrastructure"
"S&L","Sewer and waste",6,1978,5136,18002.323,28.5296514233191,"Total basic infrastructure"
"S&L","Sewer and waste",6,1979,5561,17703.311,31.4122030619018,"Total basic infrastructure"
"S&L","Sewer and waste",6,1980,6644,19033.443,34.9069792575101,"Total basic infrastructure"
"S&L","Sewer and waste",6,1981,5886,15804.095,37.2435118872672,"Total basic infrastructure"
"S&L","Sewer and waste",6,1982,5574,14589.039,38.2067660522396,"Total basic infrastructure"
"S&L","Sewer and waste",6,1983,5007,12674.071,39.5058541174339,"Total basic infrastructure"
"S&L","Sewer and waste",6,1984,5903,14460.422,40.8217685486634,"Total basic infrastructure"
"S&L","Sewer and waste",6,1985,6049,14470.297,41.8028738456439,"Total basic infrastructure"
"S&L","Sewer and waste",6,1986,6815,15987.839,42.6261485370224,"Total basic infrastructure"
"S&L","Sewer and waste",6,1987,8107,18738.71,43.2633836587471,"Total basic infrastructure"
"S&L","Sewer and waste",6,1988,8519,19085.458,44.636078421592,"Total basic infrastructure"
"S&L","Sewer and waste",6,1989,8497,18477.405,45.9858946643211,"Total basic infrastructure"
"S&L","Sewer and waste",6,1990,9059,19334.175,46.8548567497708,"Total basic infrastructure"
"S&L","Sewer and waste",6,1991,9172,19653.515,46.6684967040247,"Total basic infrastructure"
"S&L","Sewer and waste",6,1992,9588,20178.619,47.5156401932164,"Total basic infrastructure"
"S&L","Sewer and waste",6,1993,8958,18023.752,49.7010833260466,"Total basic infrastructure"
"S&L","Sewer and waste",6,1994,8141,15722.315,51.7799064577958,"Total basic infrastructure"
"S&L","Sewer and waste",6,1995,8160,15346.737,53.1709118361773,"Total basic infrastructure"
"S&L","Sewer and waste",6,1996,9177,16867.053,54.4078446898815,"Total basic infrastructure"
"S&L","Sewer and waste",6,1997,9250,16595.238,55.7388812380997,"Total basic infrastructure"
"S&L","Sewer and waste",6,1998,8973,15890.88,56.4663505104815,"Total basic infrastructure"
"S&L","Sewer and waste",6,1999,9095,15565.726,58.429654999709,"Total basic infrastructure"
"S&L","Sewer and waste",6,2000,9032,14837.487,60.8728418767949,"Total basic infrastructure"
"S&L","Sewer and waste",6,2001,9832,15554.196,63.2112389479983,"Total basic infrastructure"
"S&L","Sewer and waste",6,2002,11036,17124.475,64.445771330216,"Total basic infrastructure"
"S&L","Sewer and waste",6,2003,12234,18651.785,65.5915774281121,"Total basic infrastructure"
"S&L","Sewer and waste",6,2004,13293,19097.858,69.6046645649999,"Total basic infrastructure"
"S&L","Sewer and waste",6,2005,13927,18375.994,75.78909744964,"Total basic infrastructure"
"S&L","Sewer and waste",6,2006,15571,19116.885,81.4515544765792,"Total basic infrastructure"
"S&L","Sewer and waste",6,2007,17318,19941.006,86.8461701480858,"Total basic infrastructure"
"S&L","Sewer and waste",6,2008,18540.2,20565.709,90.1510373408473,"Total basic infrastructure"
"S&L","Sewer and waste",6,2009,19890.4,22059.716,90.1661653305056,"Total basic infrastructure"
"S&L","Sewer and waste",6,2010,20835.6,22420.173,92.9323783540832,"Total basic infrastructure"
"S&L","Sewer and waste",6,2011,20295.799,20987.626,96.703643375387,"Total basic infrastructure"
"S&L","Sewer and waste",6,2012,18145,18145,100,"Total basic infrastructure"
"S&L","Sewer and waste",6,2013,17211,16917.667,101.733885647471,"Total basic infrastructure"
"S&L","Sewer and waste",6,2014,17189,16447.84,104.506123600424,"Total basic infrastructure"
"S&L","Sewer and waste",6,2015,17995.001,16816.825,107.005936019433,"Total basic infrastructure"
"S&L","Sewer and waste",6,2016,18053.001,16594.128,108.791501427493,"Total basic infrastructure"
"S&L","Sewer and waste",6,2017,17598,15738.312,111.816311685777,"Total basic infrastructure"
"Private","Development",7,1947,9,127,7.08661417322835,"Total basic infrastructure"
"Private","Development",7,1948,9,107,8.41121495327103,"Total basic infrastructure"
"Private","Development",7,1949,10,129,7.75193798449612,"Total basic infrastructure"
"Private","Development",7,1950,15,200,7.5,"Total basic infrastructure"
"Private","Development",7,1951,9,100,9,"Total basic infrastructure"
"Private","Development",7,1952,11,127,8.66141732283465,"Total basic infrastructure"
"Private","Development",7,1953,16,180,8.88888888888889,"Total basic infrastructure"
"Private","Development",7,1954,16,188,8.51063829787234,"Total basic infrastructure"
"Private","Development",7,1955,21,245,8.57142857142857,"Total basic infrastructure"
"Private","Development",7,1956,17,184,9.23913043478261,"Total basic infrastructure"
"Private","Development",7,1957,27,271,9.96309963099631,"Total basic infrastructure"
"Private","Development",7,1958,26,262,9.9236641221374,"Total basic infrastructure"
"Private","Development",7,1959,28,287,9.75609756097561,"Total basic infrastructure"
"Private","Development",7,1960,38,394,9.64467005076142,"Total basic infrastructure"
"Private","Development",7,1961,34,350,9.71428571428571,"Total basic infrastructure"
"Private","Development",7,1962,37,379,9.76253298153034,"Total basic infrastructure"
"Private","Development",7,1963,42,416,10.0961538461538,"Total basic infrastructure"
"Private","Development",7,1964,45,446,10.0896860986547,"Total basic infrastructure"
"Private","Development",7,1965,56,535,10.4672897196262,"Total basic infrastructure"
"Private","Development",7,1966,65,599,10.8514190317195,"Total basic infrastructure"
"Private","Development",7,1967,61,542,11.2546125461255,"Total basic infrastructure"
"Private","Development",7,1968,77,638,12.0689655172414,"Total basic infrastructure"
"Private","Development",7,1969,99,772,12.8238341968912,"Total basic infrastructure"
"Private","Development",7,1970,127,905,14.0331491712707,"Total basic infrastructure"
"Private","Development",7,1971,133,886,15.0112866817156,"Total basic infrastructure"
"Private","Development",7,1972,126,792,15.9090909090909,"Total basic infrastructure"
"Private","Development",7,1973,129,756,17.0634920634921,"Total basic infrastructure"
"Private","Development",7,1974,147,720,20.4166666666667,"Total basic infrastructure"
"Private","Development",7,1975,163,702,23.2193732193732,"Total basic infrastructure"
"Private","Development",7,1976,171,717,23.8493723849372,"Total basic infrastructure"
"Private","Development",7,1977,208,817,25.4589963280294,"Total basic infrastructure"
"Private","Development",7,1978,246,936,26.2820512820513,"Total basic infrastructure"
"Private","Development",7,1979,313,1101,28.4287011807448,"Total basic infrastructure"
"Private","Development",7,1980,321,997,32.1965897693079,"Total basic infrastructure"
"Private","Development",7,1981,365,999,36.5365365365365,"Total basic infrastructure"
"Private","Development",7,1982,405,1030,39.3203883495146,"Total basic infrastructure"
"Private","Development",7,1983,468,1185,39.4936708860759,"Total basic infrastructure"
"Private","Development",7,1984,609,1555,39.1639871382637,"Total basic infrastructure"
"Private","Development",7,1985,871,2188,39.8080438756856,"Total basic infrastructure"
"Private","Development",7,1986,727,1776,40.9346846846847,"Total basic infrastructure"
"Private","Development",7,1987,840,1976,42.5101214574899,"Total basic infrastructure"
"Private","Development",7,1988,678,1567,43.2673899170389,"Total basic infrastructure"
"Private","Development",7,1989,786,1772,44.3566591422122,"Total basic infrastructure"
"Private","Development",7,1990,945,2051,46.0750853242321,"Total basic infrastructure"
"Private","Development",7,1991,940,1990,47.2361809045226,"Total basic infrastructure"
"Private","Development",7,1992,1141,2385,47.8406708595388,"Total basic infrastructure"
"Private","Development",7,1993,1048,2170,48.294930875576,"Total basic infrastructure"
"Private","Development",7,1994,923,1860,49.6236559139785,"Total basic infrastructure"
"Private","Development",7,1995,1093,2106,51.8993352326686,"Total basic infrastructure"
"Private","Development",7,1996,896,1674,53.5244922341696,"Total basic infrastructure"
"Private","Development",7,1997,764,1386,55.1226551226551,"Total basic infrastructure"
"Private","Development",7,1998,724,1297,55.8211256746338,"Total basic infrastructure"
